POZO,DEPTH,Unidad,X,Y,CALI,Core_GrnDn,Core_Kmax,Core_Por,Core_k_vert,GR,GR_Core,KLogs2,KTim,PEF,PHID,PHIE,PHIE1,PHIN,ResD,ResM,ResS,RHOB,Ro,RT,SwA,Vshl,Vshl1,FZI
Jacana Sur-1,10141.3,Arena Guadalupe,1148751.74,975765.68,8.6461,2.637,NaN,0.234,12337.18183,34.0171,14.96,2097.6257,1952.5909,2.0763,0.221,0.2209,0.1841,0.2959,496.467,301.3954,211.9435,2.2776,38.6762,496.467,0.1376,0.1541,0.2951,NaN
Jacana Sur-1,10141.6,Arena Guadalupe,1148751.74,975765.68,8.7294,2.633,9194.4932,0.235,NaN,30.5551,14.6,1868.4406,1667.3707,2.033,0.2163,0.2163,0.1786,0.2947,656.9691,376.1757,314.732,2.2853,38.0813,656.9691,0.1022,0.1632,0.3091,20.21869811
Jacana Sur-1,10142.4,Arena Guadalupe,1148751.74,975765.68,8.5882,2.632,8988.6553,0.228,NaN,74.3544,17.04,3076.4412,3612.8188,2.0133,0.235,0.2368,0.2134,0.2788,607.0753,342.5434,400.7294,2.2546,48.967,607.0753,0.1783,0.0817,0.1725,21.11018509
Jacana Sur-1,10145.8,Gacheta,1148751.74,975765.68,8.5692,2.678,0.352,0.051,NaN,120.0685,107.4,0,0,2.7509,0.0342,0,0,0.3228,68.4689,57.9198,73.7993,2.5839,NaN,68.4689,1,1,1,1.535012541
Jacana Sur-1,10149.1,Gacheta,1148751.74,975765.68,8.3272,2.636,0.046,0.114,NaN,90.7969,102.85,130.6572,36.8335,2.1413,0.134,0.1336,0.0887,0.2872,48.0815,41.9787,34.5019,2.4202,NaN,48.0815,1,0.4041,0.604,0.155019028
Jacana Sur-1,10151.3,Gacheta,1148751.74,975765.68,8.4127,2.653,0.26,0.115,NaN,109.6118,93.99,38.5185,6.7367,2.3166,0.1006,0.107,0.067,0.2712,57.47,45.2955,48.5205,2.475,NaN,57.47,1,0.4767,0.6724,0.363339682
Jacana Sur-1,10153.6,Gacheta,1148751.74,975765.68,8.4628,2.626,0.036,0.076,NaN,114.0694,106.64,89.6251,21.3114,2.2485,0.1249,0.1247,0.0809,0.2855,41.7499,30.4859,39.6758,2.4351,NaN,41.7499,1,0.434,0.6331,0.262743803
Jacana Sur-1,10156.2,Gacheta,1148751.74,975765.68,8.4,2.791,0.74,0.124,NaN,88.5556,95.17,0,0,3.1718,0.0767,0.0017,0.0007,0.3296,114.5871,88.4389,63.5353,2.5142,NaN,114.5871,1,0.9928,0.997,0.541897424
Jacana-24,10485.65,Paleosuelo Guadalupe,1147601.84,974788.61,9.0099,2.99,0.0392,0.192,NaN,192.9586,188.5625,0,0,2.1054,0.0625,0,0,2.2574,78.1205,50.7279,20.1791,2.5375,30,78.1205,0.3841,1,1,0.059707955
Jacana-24,10487.22,Paleosuelo Guadalupe,1147601.84,974788.61,9.1872,2.98,0.0357,0.224,NaN,205.8542,214.354,0,0,2.1702,0.1006,0,0,1140.9534,34.3652,29.3665,10.5207,2.475,30,34.3652,0.873,1,1,0.043426362
Jacana-24,10490.26,Paleosuelo Guadalupe,1147601.84,974788.61,9.0342,3.34,9.7857,0.362,NaN,159.4306,175.4985,0,0,2.3164,0.0289,0,0,0.6979,42.6543,31.8777,19.487,2.5925,30,42.6543,0.7033,1,1,0.287728857
Jacana-24,10491.63,Paleosuelo Guadalupe,1147601.84,974788.61,9.3534,2.93,0.01,0.159,NaN,150.8361,141.4736,0,0,2.4847,0.0386,0,0,0.532,44.3867,34.7477,30.6306,2.5767,30,44.3867,0.6759,1,1,0.041651434
Jacana-24,10492.94,Paleosuelo Guadalupe,1147601.84,974788.61,10.1872,2.6,0.001,0,NaN,154.9331,155.0541,0,0,2.0976,0.0611,0,0,0.5389,34.3002,26.3007,25.9823,2.5398,30,34.3002,0.8748,1,1,NaN
Jacana-24,10496.26,Paleosuelo Guadalupe,1147601.84,974788.61,9.2165,2.74,0.0044,0.083,NaN,97.4387,83.1016,0,0,4.0197,0.0286,0,0,0.5547,21.5068,18.7335,18.7915,2.5932,30,21.5068,1,1,1,0.079874506
Jacana-24,10498.45,Paleosuelo Guadalupe,1147601.84,974788.61,9.055,2.61,0.001,0,NaN,147.1854,144.7261,0,0,2.7013,0.0053,0,0,0.4347,35.08,31.9751,33.8431,2.6313,30,35.08,0.8552,1,1,NaN
Jacana-24,10500.55,Paleosuelo Guadalupe,1147601.84,974788.61,9.1315,2.64,0.001,0,NaN,100.5696,103.3764,0,0,2.573,-0.0052,0,0,0.2744,55.5757,48.158,51.2948,2.6485,30,55.5757,0.5398,1,1,NaN
Jacana-24,10501.9,Paleosuelo Guadalupe,1147601.84,974788.61,9.0229,2.7,0.001,0,NaN,85.61,82.0471,0,0,2.9177,-0.0169,0,0,0.2614,48.5577,44.9241,44.7408,2.6677,30,48.5577,0.6171,1,1,NaN
Jacana-24,10503.54,Paleosuelo Guadalupe,1147601.84,974788.61,9.0043,2.7,0.001,0,NaN,88.1201,75.4884,2.7153,0.0025,2.3699,0.0367,0.0662,0.0374,0.2337,53.9209,48.7589,46.1827,2.5797,17.5104,53.9209,0.3517,0.6042,0.7763,NaN
Jacana-24,10504.48,Arena Guadalupe,1147601.84,974788.61,9.0654,2.66,0.0015,0.07,NaN,71.0095,72.6904,2.4067,0.0022,2.1661,0.0342,0.0648,0.0365,0.2321,50.8015,43.7415,39.6892,2.5839,17.4251,50.8015,0.3697,0.6097,0.7803,0.061067644
Jacana-24,10507.5,Arena Guadalupe,1147601.84,974788.61,8.9859,2.64,0.5244,0.135,NaN,51.235,42.129,225.0489,156.1175,2.2839,0.1349,0.1474,0.1288,0.1912,36.2661,31.6434,24.1082,2.4187,45.2512,36.2661,1,0.1093,0.2218,0.39653036
Jacana-24,10508.1,Arena Guadalupe,1147601.84,974788.61,9.0911,2.62,0.0001,0.015,NaN,49.7797,45.8428,235.7063,172.495,2.1066,0.1379,0.1486,0.1328,0.185,35.8335,30.0018,23.3904,2.4139,49.2467,35.8335,1,0.0889,0.1857,0.168356152
Jacana-24,10509.92,Arena Guadalupe,1147601.84,974788.61,9.1206,2.63,1.6161,0.146,NaN,36.1592,35.2325,52.8921,24.51,2.0922,0.0898,0.1134,0.0928,0.1715,57.492,46.6556,33.621,2.4927,43.5379,57.492,0.8142,0.1719,0.3222,0.611071952
Jacana-24,10511.2,Arena Guadalupe,1147601.84,974788.61,9.1749,2.64,1.5382,0.131,NaN,49.1876,44.7551,118.7455,65.862,1.9296,0.113,0.1313,0.1091,0.189,36.7274,30.4277,24.4966,2.4547,41.3565,36.7274,1,0.1569,0.2995,0.713754541
Jacana-24,10512.74,Arena Guadalupe,1147601.84,974788.61,9.1614,2.64,0.0576,0.1,NaN,45.155,41.7946,216.3823,141.4219,1.9308,0.1324,0.1463,0.1247,0.1985,36.893,31.2162,24.3786,2.4229,41.3237,36.893,1,0.1324,0.2606,0.21447832
Jacana-24,10514.88,Arena Guadalupe,1147601.84,974788.61,9.0061,2.64,3.4992,0.154,NaN,46.8218,39.5784,180.1436,106.513,2.4771,0.1254,0.1416,0.1171,0.2031,43.2884,36.6214,28.3447,2.4343,38.0952,43.2884,0.9171,0.1613,0.3061,0.822248922
Jacana-24,10516.54,Arena Guadalupe,1147601.84,974788.61,9.0764,2.72,24.215,0.174,NaN,44.5579,39.1271,72.938,35.2498,2.0404,0.098,0.1202,0.0977,0.1821,47.9305,40.7426,32.5779,2.4793,40.7575,47.9305,0.8892,0.1782,0.3315,1.758442046
Jacana-24,10517.02,Arena Guadalupe,1147601.84,974788.61,9.0288,2.67,15.4227,0.173,NaN,42.8026,40.3441,72.4688,34.7083,2.0764,0.0976,0.12,0.0973,0.1829,45.2398,39.0044,31.743,2.4799,40.2868,45.2398,0.9195,0.1814,0.3363,1.41724916
Jacana-24,10519.14,Arena Guadalupe,1147601.84,974788.61,8.7802,2.64,0.0435,0.086,NaN,50.9913,55.9912,209.0472,121.2612,1.8402,0.1298,0.1454,0.1181,0.2147,53.656,46.722,35.3812,2.4271,34.7407,53.656,0.7396,0.1802,0.3345,0.237341015
